STORE_NUM,ADDR_LINE_1,CITY,STATE,ZIP_CODE,COUNTY,latitude,longitude
1,223 W MAIN ST,ADA,OK,74820-5403,PONTOTOC,34.774154700000004,-96.6814384
2,2072 MOGADORE RD,AKRON,OH,44312-1117,SUMMIT,41.06160939999999,-81.45394809999998
3,34510 VINE ST,EASTLAKE,OH,44095-5116,LAKE,41.6412221,-81.4422728
5,25991 MAIN ST,ARDMORE,TN,38449-0057,GILES,34.9965476,-86.85806740000002
7,3323 MELROSE AVE NW,ROANOKE,VA,24017-1943,ROANOKE CITY,37.291895200000006,-79.99055779999998
10,2813 S CLARK STE # E,MEXICO,MO,65265-0159,AUDRAIN,39.1472099,-91.8916708
11,1701 TIFFIN AVE,SANDUSKY,OH,44870-1947,ERIE,41.439684,-82.7354728
13,1315 N MAIN ST,BEAVER DAM,KY,42320-1546,OHIO,37.4197169,-86.87922789999998
14,304 E 5TH ST N,BIG STONE GAP,VA,24219-2354,WISE,36.8701452,-82.7764679
16,1348 W MARKET ST,BOLIVAR,TN,38008-1726,HARDEMAN,35.26096610000001,-89.0075883
17,909 W MAIN ST,BOONVILLE,IN,47601-1567,WARRICK,38.0491722,-87.2864456
18,694 S BELLS ST,ALAMO,TN,38001-1927,CROCKETT,35.7751597,-89.1169979
21,1401 EUCLID AVE,BRISTOL,VA,24201-3841,BRISTOL CITY,36.6016765,-82.19621560000002
22,1336 GOSHEN AVE,FORT WAYNE,IN,46808-2011,ALLEN,41.102308,-85.1603315
23,2074 US HWY 227,CARROLLTON,KY,41008-0716,CARROLL,38.6614626,-85.13975649999998
24,1284 CURTIS PKWY,CALHOUN,GA,30701-3919,GORDON,34.4749271,-84.9221962
25,130 SMITH ST,CALHOUN,KY,42327-2121,MCLEAN,37.5389351,-87.25833159999998
26,161 HIGHWAY 641 N,CAMDEN,TN,38320-1378,BENTON,35.9978845,-88.10959369999998
29,7951 EDGEMONT RD,GREERS FERRY,AR,72067-0396,CLEBURNE,35.5647294,-92.19050279999999
30,169 BLACKWELL RD,CHATSWORTH,GA,30705-3057,MURRAY,34.755601,-84.7701106
31,1540 INTERNATIONAL BLVD,NORFOLK,VA,23513,NORFOLK CITY,36.8966872,-76.2268642
33,917 RICHMOND RD,IRVINE,KY,40336-7230,ESTILL,37.6972603,-83.989265
