State,Stores,Pct to Ttl, Budget 
AL ,760,4.91%," $147,325 "
AR ,434,2.80%," $84,130 "
AZ ,118,0.76%," $22,874 "
CA ,220,1.42%," $42,647 "
CO ,47,0.30%," $9,111 "
CT ,56,0.36%," $10,856 "
DE ,45,0.29%," $8,723 "
FL ,856,5.53%," $165,934 "
GA ,872,5.63%," $169,036 "
IA ,242,1.56%," $46,911 "
IL ,548,3.54%," $106,229 "
IN ,525,3.39%," $101,770 "
KS ,236,1.52%," $45,748 "
KY ,531,3.43%," $102,934 "
LA ,559,3.61%," $108,361 "
MA ,45,0.29%," $8,723 "
MD ,137,0.89%," $26,557 "
ME ,55,0.36%," $10,662 "
MI ,519,3.35%," $100,607 "
MN ,136,0.88%," $26,363 "
MO ,518,3.35%," $100,414 "
MS ,512,3.31%," $99,250 "
NC ,817,5.28%," $158,374 "
ND ,26,0.17%," $5,040 "
NE ,123,0.79%," $23,843 "
NH ,36,0.23%," $6,979 "
NJ ,133,0.86%," $25,782 "
NM ,100,0.65%," $19,385 "
NV ,22,0.14%," $4,265 "
NY ,464,3.00%," $89,946 "
OH ,798,5.16%," $154,691 "
OK ,442,2.86%," $85,681 "
OR ,52,0.34%," $10,080 "
PA ,738,4.77%," $143,060 "
RI ,16,0.10%," $3,102 "
SC ,542,3.50%," $105,066 "
SD ,52,0.34%," $10,080 "
TN ,780,5.04%," $151,202 "
TX ,"1,485",9.60%," $287,865 "
UT ,11,0.07%," $2,132 "
VA ,419,2.71%," $81,223 "
VT ,36,0.23%," $6,979 "
WI ,171,1.10%," $33,148 "
WV ,242,1.56%," $46,911 "
