Division,Region,District,Store,City,State, Total YTD 
3,38,203,14179,Gulf Shores,AL," $22,228 "
3,33,771,246,Eufaula,AL," $8,035 "
3,48,236,12820,Rehobeth,AL," $6,236 "
3,38,798,485,Saraland,AL," $5,111 "
3,48,430,11924,Newton,AL," $4,738 "
3,48,236,4279,Ashford,AL," $4,372 "
3,48,430,4680,Daleville,AL," $4,027 "
3,38,203,13394,Robertsdale,AL," $3,686 "
3,48,430,13515,Dothan,AL," $3,671 "
3,38,203,12173,Foley,AL," $3,564 "
3,48,429,13884,East Brewton,AL," $3,460 "
3,48,236,16881,Dothan,AL," $3,298 "
3,48,430,12951,Enterprise,AL," $3,165 "
3,38,798,730,Saraland,AL," $3,056 "
3,33,771,9253,Smiths Station,AL," $2,929 "
3,48,430,4458,Midland City,AL," $2,868 "
3,48,236,8218,Dothan,AL," $2,859 "
3,48,236,12949,Cowarts,AL," $2,782 "
3,48,236,15542,Dothan,AL," $2,728 "
3,38,798,15264,Daphne,AL," $2,649 "
3,48,236,14799,Malvern,AL," $2,578 "
3,38,203,14166,Orange Beach,AL," $2,404 "
3,48,430,13013,Dothan,AL," $2,354 "
3,48,381,14392,Wilmer,AL," $2,310 "
3,33,771,14607,Seale,AL," $2,298 "
3,48,236,9067,Hartford,AL," $2,280 "
3,48,236,1033,Dothan,AL," $2,182 "
3,48,236,4459,Dothan,AL," $2,131 "
3,48,236,1368,Headland,AL," $2,058 "
4,45,138,10884,Cullman,AL," $2,033 "
3,48,236,829,Dothan,AL," $1,896 "
3,38,798,9851,Daphne,AL," $1,892 "
4,49,707,8662,Muscle Shoals,AL," $1,830 "
3,38,203,16294,Orange Beach,AL," $1,819 "
3,48,236,11197,Cottonwood,AL," $1,714 "
3,33,771,15105,Eufaula,AL," $1,691 "
3,38,798,18945,Bay Minette,AL," $1,627 "
3,48,307,4278,Brundidge,AL," $1,616 "
3,48,645,9096,Theodore,AL," $1,615 "
3,48,729,12534,Andalusia,AL," $1,577 "
4,45,138,15211,Cullman,AL," $1,569 "
3,48,139,12467,Excel,AL," $1,541 "
3,38,203,9852,Fairhope,AL," $1,496 "
3,33,771,10320,Cusseta,AL," $1,415 "
3,48,429,12455,Uriah,AL," $1,391 "
3,48,429,7404,Flomaton,AL," $1,359 "
3,33,771,8231,Smiths Station,AL," $1,343 "
3,38,203,14243,Seminole,AL," $1,296 "
3,33,771,6821,Phenix City,AL," $1,180 "
3,33,771,16260,Phenix City,AL," $1,163 "
4,45,284,4172,Hokes Bluff,AL," $1,162 "
4,45,287,3726,Huntsville,AL," $1,161 "
3,33,771,11889,Fort Mitchell,AL," $1,130 "
4,49,707,11500,Mount Hope,AL," $1,122 "
